Timestamp,Station,AQI
2025-06-13 10:24:52,Phu Nhuan,80*
2025-06-13 10:25:00,District 3,55
2025-06-13 10:25:08,District 2,79*
2025-06-13 10:25:16,Tan Phu,80*
2025-06-13 10:25:24,District 10,80*
2025-06-13 10:25:33,District 11,80*
2025-06-13 10:25:41,District 5,79*
2025-06-13 10:25:49,District 6,79*
2025-06-13 10:25:57,Binh Thanh,80*
2025-06-13 10:26:05,District 4,78*
2025-06-13 10:26:12,District 1,79*
2025-06-13 10:26:20,District 9,80*
2025-06-13 10:26:28,District 7,77*
2025-06-13 10:26:36,Thu Duc,56
